doc_type,file_path,sentence_id,previous_sentence,sentence,next_sentence,target_word,concept,category
CONVRSN,KCP,3571,Look.,He might have got a **flea**.,He might have got a flea Rudy.,flea,flea,flee or insects
CONVRSN,KCP,3572,He might have got a flea.,He might have got a **flea** Rudy.,I doubt it .,flea,flea,flee or insects
CONVRSN,KCP,3576,"You see, see they do  most dogs go down the fields.",Quite possibly he has got a **flea** duck.,I sprayed him with that stuff.,flea,flea,flee or insects
CONVRSN,KCP,5029,it in the fur though,get him a **flea** collar,"The trouble is, if you put, I bought him one, but it knots all his fur up",flea,flea,flee or insects
CONVRSN,KBG,887,What wash?,Mum can I sing   I'm a little a **flea** ?,Sing happy birthday.,flea,flea,flee or insects
OTHERSP,KLY,230,"It's a lie and I tell you why it isn't the southern problem, it's every region's problem.","Every region here got this problem because all of you, every one of you have got local authority workers and other workers and Tylers is like a **flea** on a dog's back it's creeping in and they going, getting everywhere.","Now I work for a local authority so I've got a big interest in this, but I've also been involved as John will remember in a strike.",flea,flea,flee or insects
NEWS,K52,801,"Peter Sellers, subject of a season of movies on Channel 4 at present, starred in The Smallest Show on Earth.",This Fifties comedy was set in a ‘**flea** pit’ cinema called the Bijou where staff turned up the central heating to boiling point in a desert picture to boost ice cream sales.,ITV's World in Action sent two market traders from North Wales to Holland to flog cloth to the descendants of the famous rag traders of Tudor times.,flea,flea,flee or insects
CONVRSN,KST,2241,Right.,You got the **flea** powder?,Yeah.,flea,flea,flee or insects
OTHERPUB,K8Y,471,"However, some of the health improvement came about through natural reduction in disease.","For example, bubonic plague had largely disappeared either because rats developed an immunity to the bacillus or due to a change in the **flea** transmitters.","Likewise, immunity to typhoid and smallpox seems to have increased spontaneously in the human population.",flea,flea,flee or insects
OTHERPUB,BPC,1403,Enjoy the fun of the ‘greatest leaps’ display which illustrates that the leap of a kangaroo is double that of the human Olympic record.,"The frog makes a respectable showing, the **flea**, however, is better at the high jump!",OUR PLANET EARTH,flea,flea,flee or insects
OTHERPUB,BPE,209,"Either way, it has cut the vast queues.","For the artistically inclined the **flea** markets of Paris are full of interest and are, of course, totally free.","Otherwise wandering the boulevards, discovering unspoilt backwaters or just watching the people is as much fun as more expensive pastimes.",flea,flea,flee or insects
NONAC,BMB,878,"A company such as T&L, he says, cannot afford to miss out on significant discoveries these large organisations make.","‘We can be like a **flea** on their backs, but we have to be ready when they turn over.",Otherwise we'll be a squashed flea.’,flea,flea,flee or insects
NONAC,BMB,879,"‘We can be like a flea on their backs, but we have to be ready when they turn over.",Otherwise we'll be a squashed **flea**.’,It is hard to know how all these developments will translate into profits for T&L.,flea,flea,flee or insects
FICTION,BMS,1105,It'll be easy getting him to show me where he's chucked my dreams.,He's a **flea** and I'm a spider.,Watch my web.,flea,flea,flee or insects
NONAC,BN3,1826,Only an idiot would behave as you did.,"I compare you to a **flea** on an elephant's back, shouting —‘unless you behave better, I shall bite you.’",Do you realise you cannot rationalise with the irrational!’,flea,flea,flee or insects
NONAC,BNL,2034,"Choose a good hotel, even bordering on the luxurious if you can.",If there are two of you holidaying together you can cheer each other up and laugh about life's adversities and the fact that you are holidaying in a **flea** pit.,If you are on your own in a hovel it is nothing other than miserable.,flea,flea,flee or insects
OTHERPUB,BNY,56,"The doe visits periodically to feed them, opening and closing the entrance on each occasion.",Rabbits' nests are the breeding ground of the rabbit **flea**.,The fleas' eggs are laid in the nest and once hatched the fleas feed off the young rabbits.,flea,flea,flee or insects
OTHERPUB,B0Y,1709,"Pugstyles, Mr,","leader of a constituency deputation sent away with a **flea** in its ear by Mr Gregsbury, MP.",NN 16.,flea,flea,flee or insects
OTHERPUB,EBN,6,Where else can you find the peaceful old world charm of a beautiful 17th Century inner city so well complemented by the modern efficiency of an exciting cosmopolitan metropolis?,And where else will you find world famous diamond houses alongside colourful second hand **flea** markets?,"Scores of museums, theatres and cinemas offer a multitude of cultural possibilities.",flea,flea,flee or insects
OTHERPUB,ED1,22,History may point at Berlin and say it way here that the dream of communism started to curl up and die.,"The wall has all but disappeared, East German uniforms are on sale in the **flea** markets and it's rumoured the Stasi ‘bug’ factory is now making hearing aids.","Berlin has been reborn, and with the Government moving back here from Boon it'll soon be the capital of Germany once more.",flea,flea,flee or insects
NONAC,EDE,1180,"This was, when all is said and done, class legislation: enacted by one class for the betterment of its lower brethren; not for the correction of its own bad habits.","‘To a wealthy or aristocratic criminal the vengeance of the law is as a **flea**, which merely tickles’, observed Reynolds's Newspaper which thought that as far as the Garotter's Act went ‘only poor, plebeian criminals will be exposed…rich and aristocratic ruffians…are certain to be exempted from flogging’.",It was an entirely sound judgement.,flea,flea,flee or insects
OTHERPUB,EC4,277,On stage he is the fastest improvising comedian in the States.,"He plays the piano, sings like a **flea** and electrifies the audience.","‘A dazzling comedian with frenetic, word-tumbling intelligence’Scotland on Sunday",flea,flea,flee or insects
OTHERPUB,ECU,2252,"He, Columbus, is merely her four hundred and twentieth idiot.","He is her clown, her performing **flea**.","This, too, is a plausible scenario.",flea,flea,flee or insects
OTHERPUB,ECU,3368,I've had to work twice as hard to prove myself.’,"According to Shimon Samuels of the Paris-based Simon Wiesenthal Centre, the games were first sold on Nazi memorabilia stalls at **flea** markets in Austria.","Eastern Europe also provided an enthusiastic market, as Commodore 64 computers, obsolete in the west, were sold for a song to young people eager for unity and a non-communist identity.",flea,flea,flee or insects
OTHERPUB,ECH,895,My camera clicked away.,"The haul up from there to the top of the highest bank was several hundred feet of deep heather, pollen-dusty and honey-scented, but as friendly as a hedgehog for a **flea**.","Along the top of the bank was the Ben Tee path, leading to a stile and wending up by the burn — rather than towards the peak — so I just headed over the dried-out moor for the steady ascent to the summit.",flea,flea,flee or insects
NONAC,EFR,691,Some take up a static  life — the barnacles; others swim in vast shoals — the krill which forms the food of whales.,The external skeleton is highly versatile; it serves the tiny water **flea** as well as it does the giant Japanese spider crab that measures over three metres from claw to claw.,Each species modifies the shape of its many paired legs for particular purposes.,flea,flea,flee or insects
OTHERPUB,CGC,1361,"Hand in hand with environmental panic, recycling chic is growing in Europe too.","Not only in Paris where fashion designers like Martin Margiela, Veronique Leroy, Jean Collona and Lamine Kouyate are famed for being creative with second-hand clothing, searching out their raw material in **flea** markets.",But also in London.,flea,flea,flee or insects
OTHERPUB,C9L,187,"This liking for old gear means that they both spend a lot of time hunting it down, as Bryan explains…",‘We've become real **flea** market junkies for old equipment.,I collect old microphones and Keith collects vintage amplifiers.,flea,flea,flee or insects
FICTION,CRE,838,No.,"Something tiny crawled in the voider's palm, like a **flea**.",Chant had no sooner focused upon it than it leapt towards his face.,flea,flea,flee or insects
FICTION,CRE,840,Chant had no sooner focused upon it than it leapt towards his face.,"Repulsed, he raised his arm to keep it from his eyes or mouth, and the **flea** landed upon his hand.","He slapped at it with his other hand, but it was beneath his thumbnail before he could get to it.",flea,flea,flee or insects
FICTION,CRE,869,Nothing could.,"The **flea** — or whatever variation in that species it was that crawled in him — had reached his elbow, and his arm below that pain was now completely numb, the skin of his hand wrinkled and flaky.",But the house in Gamut Street had been a place of miracles once.,flea,flea,flee or insects
FICTION,CRE,905,"Somewhere along the way, they'd lost the Daimler.","Chant might have applauded had be possessed two workable hands, but the **flea**'s message of corruption was spreading with agonizing speed.","While he still had five fingers under his command he went back to the window and dropped Estabrook's letter through, murmuring the address with a tongue that felt disfigured in his mouth.",flea,flea,flee or insects
FICTION,CRE,945,"Staggering, he put his weight against the door to close it, and for the first time he and the driver came face to face.","Whatever the **flea** was doing to his system it must have been horribly apparent, to judge by the look of repugnance on the man's face.",‘You will deliver the letter?’,flea,flea,flee or insects
FICTION,CRE,973,"It was there Chant wanted to go now, but there were new signs of atrophy in his body with every heart-beat.","The hand first invaded by the **flea** was withered, its nails dropped from their place, its bone showing at the knuckles and wrist.",Beneath his jacket he knew his torso to the hip was similarly unmade; he felt pieces of his flesh falling inside his shirt as he moved.,flea,flea,flee or insects
OTHERPUB,CHR,532,What's the difference between dogs and fleas?,A dog can have fleas but a **flea** can't have dogs!,Why did no one care when the owl lost his voice?,flea,flea,flee or insects
OTHERPUB,CHR,1113,What's the difference between dogs and fleas?,A dog can have fleas but a **flea** can't have dogs!,Where do pixies and elves go shopping?,flea,flea,flee or insects
NEWS,CH2,3837,"In his efforts to surrender to justice Jim, 46, had PHONED the police to tell them where he was.",He CALLED twice at the station — only to be sent away with a **flea** in his ear — and LEFT his name and company address so detectives knew where to find him at all times.,Much to his relief he was finally arrested — and appeared in front of the judge who called for him to be brought before the court back in 1990.,flea,flea,flee or insects
NONAC,CH8,1119,"The highlights of our childhood were ‘Children's Hour’ on the wireless, and the cinema.","In those days, if you stuck an advert for the cinema in your window, you got free tickets, and long before I ever understood any kind of plot, we'd all troop down to the local **flea** pit and watch whatever was showing.","The wireless and the cinema gave me such enjoyment that I decided I'd become an actor, a film star.",flea,flea,flee or insects
OTHERPUB,C8B,1755,Block up any holes where insects could enter.,Commercial **flea** collars usually contain a health warning.,But there are safe ways to ward off fleas.,flea,flea,flee or insects
OTHERPUB,C8U,695,"Sure enough, she was still there, sitting on her haunches eyeing me thoughtfully.","Without warning, she suspended her scrutiny to locate a **flea** which was causing her some bother.","Having settled her differences, she gave my hand a tentative lick.",flea,flea,flee or insects
OTHERPUB,C8U,702,I gave up.,"Giving her the name Emily, I decided to adopt her, bought a packet of **flea** powder and that was that.","I first discovered Emily's dubious devotion to duty in Cannes, when a French Moroccan chap caught hold of my arm in an attempt to sell me a lurid rug.",flea,flea,flee or insects
OTHERPUB,C8U,997,The first five correct entries out of the sack will be rewarded with a signed copy of Pat Quinn's book —The Greatest Dog Show on Earth .,A delightfully illustrated story of a **flea**'s eye-view of Crufts!,The first 50 winning postcards will be sent a Sherleys flea collar.,flea,flea,flee or insects
OTHERPUB,C8U,998,A delightfully illustrated story of a flea's eye-view of Crufts!,The first 50 winning postcards will be sent a Sherleys **flea** collar.,"One size fits all, as they can be trimmed to fit almost any type of dog.",flea,flea,flee or insects
FICTION,C85,2098,"‘Th'should stand firm,’ Jess said, letting her new role take over, then going very red at her own daring.",She expected to be sent out with a **flea** in her ear.,But Miss Phoebe said: ‘You think so?’,flea,flea,flee or insects
FICTION,C85,3588,The smoke fair streams from his ears when anyone mentions thee.,"If he was to catch thee, all thy fighting skills wouldn't be worth an ounce o' **flea** shit.’","‘He won't,’ Midnight said, keeping his eyes on Red and smiling coolly.",flea,flea,flee or insects
OTHERPUB,CJE,661,"You may well notice at first that your dog scratches persistently when it is infected, in spite of being told to stop doing so.",Regular grooming with a special fine **flea** comb should alert you to the presence of these troublesome parasites.,Look for tiny specks of black dirt — these are the flea droppings.,flea,flea,flee or insects
OTHERPUB,CJE,662,Regular grooming with a special fine flea comb should alert you to the presence of these troublesome parasites.,Look for tiny specks of black dirt — these are the **flea** droppings.,"If you are in doubt about these, sprinkle the debris from the comb on to a piece of white paper, and pour a little water over it.",flea,flea,flee or insects
OTHERPUB,CJE,664,"If you are in doubt about these, sprinkle the debris from the comb on to a piece of white paper, and pour a little water over it.","The dark specks will dissolve, producing a reddish-brown coloration on the paper, because of traces of undigested blood in the **flea** dirt.","Actual fleas themselves may be harder to locate, although the base of the tail is a good point to look for them.",flea,flea,flee or insects
OTHERPUB,CJE,674,"Pest control companies can undertake this task for you, with minimum disturbance.","The female dog **flea** (1) lays her eggs on the floor (2) or in bedding and in about a week they hatch into larvae (3) which spin cocoons, inside which the pupae (4) develop into adults within two or three weeks.","The dog flea acts as an intermediate host for the larvae of the common tapeworm, Dipylium caninum which makes it even more vital that flea infestations should be controlled.",flea,flea,flee or insects
OTHERPUB,CJE,675,"The female dog flea (1) lays her eggs on the floor (2) or in bedding and in about a week they hatch into larvae (3) which spin cocoons, inside which the pupae (4) develop into adults within two or three weeks.","The dog **flea** acts as an intermediate host for the larvae of the common tapeworm, Dipylium caninum which makes it even more vital that flea infestations should be controlled.",Behaviour in the home,flea,flea,flee or insects
OTHERPUB,CJE,675,"The female dog flea (1) lays her eggs on the floor (2) or in bedding and in about a week they hatch into larvae (3) which spin cocoons, inside which the pupae (4) develop into adults within two or three weeks.","The dog flea acts as an intermediate host for the larvae of the common tapeworm, Dipylium caninum which makes it even more vital that **flea** infestations should be controlled.",Behaviour in the home,flea,flea,flee or insects
OTHERPUB,CJE,685,"Again, consistency when training is important, and it is generally better not to allow dogs on to furniture.","Otherwise, cleaning the room inevitably becomes more difficult as hairs are shed over the chair covers, and there is an increased risk of **flea** infestations.","LEFT Never forget that small puppies can grow into large dogs, as shown by this Pyrenean Mountain dog.",flea,flea,flee or insects
FICTION,CJA,121,"‘A crystal for a Kobold, yeah, that's about ol' Frank's speed,’ he grinned.",‘Try the **flea** market.’,"‘Thanks very much, Carlos.’",flea,flea,flee or insects
FICTION,CJA,159,"Overhead, lines of biofluorescents snaked from pole to pole, tied on with string.",Tabitha had come to the **flea** market after all.,Some of the stallholders had made an effort for the carnival.,flea,flea,flee or insects
FICTION,CK9,383,I do not have bed bugs .,"A **flea** now, here and there, but no bed bugs.",Get in !’,flea,flea,flee or insects
OTHERPUB,CKY,189,Two French collectors have announced what they consider to be a major find of six previously unknown Van Gogh drawings.,The sheets are reported to have turned up inside a frame offered for sale in a provincial Sunday **flea** market outside Paris.,"They show a view of a city park, two female figures, a country scene with a bridge, a village scene with figures, a small doorway, and a castle, all recognisable places in Provence.",flea,flea,flee or insects
OTHERPUB,CKL,401,"‘I've been back to London a few times in the last year, and I've had some great times there,’ she enthused.",‘I found a **flea** market in Holborn and was walking around for three hours.,It was beautiful.,flea,flea,flee or insects
OTHERPUB,CK4,3440,"Anyway, Napier-Bell flew out to Dublin to court the band and immediately launched a speech enthusing wildly about how much he liked ‘both’ the Inspirals albums.",An apoplectic CLINT BOON immediately got on his case and the ill-informed impresario was sent away with a rather large **flea** in his ear.,We hear that guitarist GRAHAM made a rather large faux-pas only the week before.,flea,flea,flee or insects
FICTION,CB0,879,Everywhere a strong smell of disinfectant and in the concrete corridors grey mops in galvanized buckets.,"Despite these precautions, I quite often came home with a **flea** and my mother would take out the streaked bottle of calamine lotion and dab the itchy lumps.","Then she would search for the flea, going along the seams of my clothes with her thumbnail until it jumped.",flea,flea,flee or insects
FICTION,CB0,880,"Despite these precautions, I quite often came home with a flea and my mother would take out the streaked bottle of calamine lotion and dab the itchy lumps.","Then she would search for the **flea**, going along the seams of my clothes with her thumbnail until it jumped.",‘Don't move.’,flea,flea,flee or insects
FICTION,CB0,882,‘Don't move.’,"She'd lick her finger and thumb, pounce calmly, then roll the **flea** for a few seconds to stun it before she cracked it between her thumb nails.","The pictures, though, were worth it.",flea,flea,flee or insects
NEWS,CBG,2152,But since that narrow escape Border has also upset manager Bobby Simpson with his public criticism of player-preparation before a nine-wicket one-day defeat at the hands of the West Indies in Perth earlier this month.,"Border emerged from that verbal fracas with a **flea** in his ear from Australian officials, but their patience is said to be wearing thin.",At the age of 37 — old by Australian standards — Border accepts that he is nearing the end of his career but he is desparate to prolong it for two reasons.,flea,flea,flee or insects
NEWS,CBC,9165,"‘All her jewellery was taken,’ he says softly, ‘except for her five-diamond engagement ring, her sapphire and diamond eternity ring and her wedding ring.","It was beautiful, an antique that we picked up at a **flea** market in Bath.",I know she would want Sophie to have those.’,flea,flea,flee or insects
OTHERPUB,CB8,2339,Top left: Rachel isn't averse to peeling paint or chipped objets d'art.,"She scours **flea** markets and will either repair her purchases or leave them, depending on the extent of the damage.",Left: Rachel's living room reveals the world of difference between shabby chic and just plain shabby.,flea,flea,flee or insects
OTHERPUB,CB8,2912,"It is a patchwork of well-tested rules, long-forgotten power struggles, and reactionary humbug.","And while a teenager has the foresight of a **flea**, her powers of humbug-detection are finely honed.","This is why, before you embark on any kind of anti-drug crusade with your children, you have to be clear where you stand — and not just on the subject of heroin.",flea,flea,flee or insects
FICTION,CEB,1855,"‘I just hope,’ Meredith said, ‘that she doesn't see the chap with the placard.","He asked her to sign his wretched petition on Friday after he asked me, and got sent away with a **flea** in his ear.",If she sees him today she might go over there and tell him his name for nothing again.’,flea,flea,flee or insects
NEWS,CEK,5643,It praises the driver of the 5.05 from London Bridge to Eastbourne who climbed out of his cab with a fistful of messages from passengers who'd asked him to phone their wives after hearing the train would be stranded for some time.,"The Red Face Award must go to one of BR Chairman Sir Bob Reid's secretaries who, after a complaint about fleas on an Edinburgh sleeper was passed on to her, sent out Sir Bob's ‘personal’ letter of apology with a memo inadvertently attached, saying: ‘Send standard **flea** letter’.",Only fools and robbers,flea,flea,flee or insects
NEWS,CEN,6405,A casual drug user has an ice cream habit and a champ is someone who refuses to reveal their supplier.,"Hamburgers and disco biscuits are undercover terms for the rave drug Ecstasy, while royalty is cocaine and poor quality drugs are dismissed as **flea** powder.",The code was designed to prevent outsiders from guessing what was going on.,flea,flea,flee or insects
FICTION,J19,2228,‘It's not fake.,I found an old coat in the **flea** market and cut the good bits out.,It's real and hot.,flea,flea,flee or insects
OTHERSP,JSH,119,This year seventy five jobs lost at  last week and there's four hundred job losses that are currently being negotia negotiated in United Engineering Steels in Sheffield and Rotherham.,That regeneration project is a **flea** on a dog's back into the jobs that have been lost in that  area at the moment.,When are we going to meet the needs of those areas for jobs and not have these things where we're getting less than twenty percent job replacement through g regeneration.,flea,flea,flee or insects
ACPROSE,J7H,18,"They differ both in terms of the types of deictic references they contain, and in terms of the degree of overlap that readers are likely to perceive between the evoked situations of utterance and the actual contexts of production and reception of the texts.","""The **flea**"" by John Donne dramatises a conventional poetic situation, in which an eager lover tries to dissuade a reluctant partner from her coy attitude to sexual behaviour.","The well-known argument is that the woman's refusal to concede to sexual intercourse is totally unjustified, since the two bodies have in fact already been made one by a flea, who has been sucking blood from them both.",flea,flea,flee or insects
ACPROSE,J7H,19,"""The flea"" by John Donne dramatises a conventional poetic situation, in which an eager lover tries to dissuade a reluctant partner from her coy attitude to sexual behaviour.","The well-known argument is that the woman's refusal to concede to sexual intercourse is totally unjustified, since the two bodies have in fact already been made one by a **flea**, who has been sucking blood from them both.","The first and second person pronouns ""me"" and ""thou"" / ""thee"" and the opening imperative ""Marke"" establish a situation of direct address involving a speaking persona and a (silent) addressee.",flea,flea,flee or insects
