category,level,domain,gain
accordion,terminal,artifacts,0.3420621760671766
airplane,terminal,artifacts,0.22581160665376265
alligator,terminal,animals,0.16152743089271152
animals,starting,animals,29.011103183850906
apron,terminal,artifacts,0.6287294746640888
artifacts,starting,artifacts,35.333391709330556
axe,terminal,artifacts,0.5455553711999107
banjo,terminal,artifacts,0.10190512104513075
bassoon,terminal,artifacts,0.26562930259667683
bat,terminal,animals,0.7392336387171876
bee,terminal,animals,0.3642920505281106
beetle,terminal,animals,1.1128835920494702
belt,terminal,artifacts,1.3385844451350792
bicycle,terminal,artifacts,1.5907388581427495
birds,intermediate,animals,5.201284744470838
blackbird,terminal,animals,0.21576504989125656
blouse,terminal,artifacts,0.8312306038955377
boat,terminal,artifacts,6.1402655764811955
boots,terminal,artifacts,0.8139756942257521
bottle,terminal,artifacts,3.523486534528997
bow,terminal,artifacts,0.07133113408329596
bowl,terminal,artifacts,2.442789640620197
bra,terminal,artifacts,0.7923764619264296
bumblebee,terminal,animals,0.0018607585238688668
bus,terminal,artifacts,4.0875794268011605
butterfly,terminal,animals,0.43157122872856574
canary,terminal,animals,0.027740617070120016
cannon,terminal,artifacts,1.713840127203258
cap,terminal,artifacts,1.7071209349315442
car,terminal,artifacts,36.56861835291046
carriage,terminal,artifacts,1.7837261329240612
cart,terminal,artifacts,2.021117449961598
cat,terminal,animals,4.303601074604706
caterpillar,terminal,animals,0.3647244290251509
cello,terminal,artifacts,0.29613798186335716
chicken,terminal,animals,0.3866486801833022
chisel,terminal,artifacts,0.32962549706294775
clamp,terminal,artifacts,0.253956573055961
clarinet,terminal,artifacts,0.1878699608725389
clothing,intermediate,artifacts,14.636232565714955
coat,terminal,artifacts,4.331675990074038
cockroach,terminal,animals,0.12742268106024707
colander,terminal,artifacts,0.13698481533274673
cow,terminal,animals,0.8989989164958729
crocodile,terminal,animals,0.22584355675528625
crow,terminal,animals,0.3722988530913006
crowbar,terminal,artifacts,0.20610924695869964
dagger,terminal,artifacts,0.39656537132244357
dinosaur,terminal,animals,0.03379540563005484
dog,terminal,animals,13.201108426382836
dolphin,terminal,animals,0.8046252815676078
donkey,terminal,animals,0.31365010146634026
double_bass,terminal,artifacts,0.15366523104128055
dove,terminal,animals,0.043131354816456025
dress,terminal,artifacts,3.076645917625649
drill,terminal,artifacts,1.091127020520286
drum,terminal,artifacts,0.2653805724126393
drum_set,terminal,artifacts,0.010010670738573493
duck,terminal,animals,0.31664982150306425
eel,terminal,animals,0.6391366525446542
elephant,terminal,animals,0.4089547616114194
falcon,terminal,animals,0.18250655766381055
file,terminal,artifacts,0.14866168054576367
fish,intermediate,animals,2.3778604072938423
flea,terminal,animals,0.09461664102411596
flute,terminal,artifacts,0.7042691603315325
fly,terminal,animals,0.5594165658735168
fork,terminal,artifacts,1.0160355157299288
fox,terminal,animals,0.39424537719081076
fridge,terminal,artifacts,1.4950214386614025
frog,terminal,animals,0.5705674351961085
fruit_fly,terminal,animals,0.01388745464107684
giraffe,terminal,animals,0.030935620078694725
glass,terminal,artifacts,3.871174643231807
go-cart,terminal,artifacts,0.021624685070430864
grater,terminal,artifacts,0.052828929634213824
grenade,terminal,artifacts,0.704130581744151
guitar,terminal,artifacts,4.031306074865555
hammer,terminal,artifacts,1.4275832771882984
hamster,terminal,animals,0.10487533090045083
harp,terminal,artifacts,0.11484588894174211
harpsichord,terminal,artifacts,0.2772203940203352
hat,terminal,artifacts,4.079544911469538
hedgehog,terminal,animals,0.2470474438599781
helicopter,terminal,artifacts,4.0126779857205115
heron,terminal,animals,0.3444532677152665
horse,terminal,animals,12.622797259034742
hot_air_balloon,terminal,artifacts,0.11751247441807894
hovercraft,terminal,artifacts,0.006794817928536622
insects,intermediate,animals,3.1171987613437966
jeep,terminal,artifacts,0.998772808538837
kangaroo,terminal,animals,0.05398595384616664
kettle,terminal,artifacts,1.2902201580110326
kitchen utensils,intermediate,artifacts,13.885237895363806
knife,terminal,artifacts,6.742476723194425
lawn_mower,terminal,artifacts,0.06857991455688396
leech,terminal,animals,0.04016465307063511
level,terminal,artifacts,0.05360080147015747
lion,terminal,animals,0.2864186634316749
lizard,terminal,animals,0.06978301843134907
llama,terminal,animals,0.026428677752046794
machine_gun,terminal,artifacts,0.18886804212304578
magpie,terminal,animals,0.13936632338108698
mammals,intermediate,animals,26.05113589942696
microwave_oven,terminal,artifacts,0.17885879057925572
mittens,terminal,artifacts,0.07019101331143128
mixer,terminal,artifacts,0.11904580337391726
monitor_lizard,terminal,animals,0.027236926301081966
monkey,terminal,animals,0.1468501989388174
mosquito,terminal,animals,0.07478653683457089
motorbike,terminal,artifacts,0.8779342805977521
mouse,terminal,animals,1.986583397907336
mug,terminal,artifacts,1.3588064085412697
musical instruments,intermediate,artifacts,5.817422415857973
nail,terminal,artifacts,0.35911686638252494
organ,terminal,artifacts,1.2048543570931032
ostrich,terminal,animals,0.037076118388322164
oven,terminal,artifacts,1.5254023404973531
owl,terminal,animals,3.341571645970159
paint_brush,terminal,artifacts,0.11699046466585931
pan,terminal,artifacts,1.447464117498435
parrot,terminal,animals,0.4247980541848729
peacock,terminal,animals,0.20611934425771541
pelican,terminal,animals,3.0476466205022065e-4
penguin,terminal,animals,0.14844513882239396
pheasant,terminal,animals,0.23901146756727537
piano,terminal,artifacts,2.417809951143017
pig,terminal,animals,0.5086615662198484
pistol,terminal,artifacts,1.5700739712621066
plane,terminal,artifacts,0.15289199827124716
plate,terminal,artifacts,4.847663029496474
plough,terminal,artifacts,0.4463645932799357
pot,terminal,artifacts,1.419045573303703
pullover,terminal,artifacts,0.408513754253106
python,terminal,animals,0.015594235242574549
rabbit,terminal,animals,1.2264188687800193
reptiles,intermediate,animals,1.539097077277262
rifle,terminal,artifacts,0.24031507698050947
robin,terminal,animals,0.2828988084861012
rocket,terminal,artifacts,0.27296737884063593
rope,terminal,artifacts,3.168987683096035
saw,terminal,artifacts,0.5671427701064311
saxophone,terminal,artifacts,0.35463376775760314
scales,terminal,artifacts,0.0943903775395607
scarf,terminal,artifacts,0.9298449627705203
scooter,terminal,artifacts,0.3590621554418599
screwdriver,terminal,artifacts,0.755495282983806
seagull,terminal,animals,0.0016501882894031119
shark,terminal,animals,0.39567055034904464
shield,terminal,artifacts,0.3807810954217516
shirt,terminal,artifacts,3.954458414832251
shoes,terminal,artifacts,1.1581671619621334
shovel,terminal,artifacts,0.4049976878646241
sieve,terminal,artifacts,0.1828146663361016
skateboard,terminal,artifacts,0.09980017881465995
skirt,terminal,artifacts,2.503682744091367
slingshot,terminal,artifacts,0.0432012155684901
snake,terminal,animals,0.6864959184685222
socks,terminal,artifacts,0.18897947369455492
sparrow,terminal,animals,0.055215952884346414
spatula,terminal,artifacts,0.03955002835562165
spear,terminal,artifacts,1.283716026220806
spider,terminal,animals,0.24502329151986973
spoon,terminal,artifacts,1.3354669138044417
squirrel,terminal,animals,0.14363775302525633
stick,terminal,artifacts,0.3890607070072564
stove,terminal,artifacts,1.2279300609573067
submarine,terminal,artifacts,0.7528323769876986
suit,terminal,artifacts,4.351126788980672
swallow,terminal,animals,2.3208641365962828e-4
swan,terminal,animals,0.08196871037100834
sweater,terminal,artifacts,1.5171566333277855
sword,terminal,artifacts,2.346508685077924
synthesizer,terminal,artifacts,0.02486268537730796
t-shirt,terminal,artifacts,0.16693956850610817
tank,terminal,artifacts,0.7266198830236807
taxi,terminal,artifacts,1.8538990139255647
teaspoon,terminal,artifacts,0.12109446210948854
tie,terminal,artifacts,1.2814309697971316
tiger,terminal,animals,1.1880445437810339
toaster,terminal,artifacts,0.23706521007435896
tools,intermediate,artifacts,13.059176499557562
top,terminal,artifacts,1.2724585689970893
tortoise,terminal,animals,0.24179770367825504
towel,terminal,artifacts,0.26240668036820675
tracksuit,terminal,artifacts,0.3593556518664337
tractor,terminal,artifacts,1.783006675413107
trailer,terminal,artifacts,0.881975767372065
train,terminal,artifacts,6.968684865225236
tram,terminal,artifacts,0.38410125426008335
trombone,terminal,artifacts,0.22280196757142673
truck,terminal,artifacts,1.9296700073100939
trumpet,terminal,artifacts,0.45851407332667515
turkey,terminal,animals,0.1052594884369964
vacuum_cleaner,terminal,artifacts,0.8729307468353179
van,terminal,artifacts,3.9054096265253913
vehicles,intermediate,artifacts,45.531546510631394
violin,terminal,artifacts,0.2853715216839568
viper,terminal,animals,0.1430972279024414
wasp,terminal,animals,0.24536326367931582
weapons,intermediate,artifacts,9.212587789157487
whale,terminal,animals,1.3810646698696138
wheelbarrow,terminal,artifacts,1.2307515266268299
whip,terminal,artifacts,0.7895117703629962
whisk,terminal,artifacts,0.07769442179749839
wire_brush,terminal,artifacts,0.04497151372062259
wok,terminal,artifacts,9.26401620324166e-4
wolf,terminal,animals,0.7607042504528847
woodpecker,terminal,animals,0.2562880730255571
worm,terminal,animals,0.7361685182450665
zebra,terminal,animals,0.005462985395675527
zeppelin,terminal,artifacts,0.009838499848833577
